Variable:,pr
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Brazil,1755.82,228.88,221.73,238.42,186.44,132.49,80.56,64.57,53.66,72.62,117.18,159.96,199.32
Sergipe,865.21,38.23,47.14,60.16,95.17,142.42,138.67,118.79,80.87,48.90,33.06,31.47,30.35
Tocantins,1617.93,276.17,242.24,266.36,161.77,55.32,4.51,1.47,4.16,35.93,116.34,207.14,246.53
Ceara,769.91,95.39,121.56,192.76,162.22,96.69,33.76,19.38,6.36,3.60,5.09,8.86,24.23
"Name Unknown",1617.93,276.17,242.24,266.36,161.77,55.32,4.51,1.47,4.16,35.93,116.34,207.14,246.53
"Distrito Federal",1513.12,230.07,209.50,221.80,128.15,26.94,5.26,2.51,10.49,39.43,129.78,234.71,274.46
"Name Unknown",883.89,69.00,57.11,73.22,88.44,88.67,58.56,71.56,45.33,76.11,88.00,81.00,86.89
"Espirito Santo",1189.43,146.92,83.24,136.53,100.09,57.54,32.83,41.88,37.53,53.27,110.59,208.53,180.48
"Name Unknown",883.89,69.00,57.11,73.22,88.44,88.67,58.56,71.56,45.33,76.11,88.00,81.00,86.89
Goias,1606.48,270.99,224.60,235.68,121.50,32.41,7.30,4.42,13.51,41.75,128.16,234.63,291.54
"Name Unknown",883.89,69.00,57.11,73.22,88.44,88.67,58.56,71.56,45.33,76.11,88.00,81.00,86.89
Maranhao,1522.80,222.55,262.31,290.82,235.90,135.26,48.12,36.57,15.78,18.43,44.75,81.72,130.59
"Mato Grosso",1837.82,288.49,290.91,294.22,145.61,57.49,13.55,5.89,23.10,67.49,152.34,227.54,271.18
"Mato Grosso Do Sul",1432.90,221.93,181.82,142.76,100.33,95.72,44.37,37.77,39.35,71.44,135.52,155.04,206.85
"Minas Gerais",1265.76,226.79,144.34,163.11,74.80,29.52,11.94,10.57,12.61,42.69,108.61,194.80,245.98
Para,2131.45,257.69,301.45,329.53,297.52,205.65,115.91,78.39,59.52,65.00,95.41,130.55,194.84
Paraiba,776.51,75.00,96.16,148.73,123.10,94.12,77.86,56.69,28.24,13.77,17.20,16.40,29.25
Parana,1632.56,197.64,175.29,132.06,105.24,134.10,106.02,91.23,80.75,123.45,171.54,140.86,174.38
Pernambuco,707.77,77.18,79.94,116.44,92.28,77.22,72.46,61.67,31.18,20.20,17.49,22.27,39.45
Piaui,963.23,158.79,161.09,191.17,140.82,43.71,9.24,7.93,2.75,12.14,39.93,82.56,113.12
"Rio De Janeiro",1247.38,199.39,131.29,146.33,97.76,52.94,32.05,27.29,28.82,60.93,101.93,162.80,205.85
"Rio Grande Do Norte",693.76,58.62,87.20,149.53,131.75,94.62,63.44,43.12,16.71,9.56,7.31,8.68,23.24
"Rio Grande Do Sul",1691.84,140.75,139.31,126.93,154.02,139.02,134.91,144.01,116.89,152.83,177.82,120.90,144.45
Rondonia,1723.04,273.89,266.20,250.49,156.61,71.22,18.20,8.80,22.94,71.44,138.04,197.55,247.66
Acre,2161.44,299.10,300.11,286.83,195.74,119.03,55.14,50.61,52.89,107.99,201.18,222.43,270.41
Roraima,2259.11,87.78,98.82,145.47,214.51,339.13,339.53,315.72,227.20,149.86,113.38,127.78,99.92
Alagoas,1010.96,49.08,57.00,78.38,114.61,165.50,166.38,146.75,85.39,56.82,32.22,25.68,33.14
"Santa Catarina",1786.62,195.04,180.47,144.50,120.95,134.41,114.79,137.74,121.96,157.37,186.97,135.02,157.38
Amapa,2620.39,280.58,326.33,358.86,385.22,398.05,271.00,192.91,106.44,37.91,28.59,66.05,168.45
"Sao Paulo",1512.31,262.76,201.80,179.30,87.05,74.97,47.93,41.78,35.64,76.26,134.97,147.66,222.19
Amazonas,2407.81,271.45,260.02,294.22,275.54,225.30,143.92,115.55,98.09,123.45,163.17,203.60,233.50
Bahia,813.38,111.78,90.73,113.70,78.51,42.34,36.36,30.14,23.00,23.56,47.99,109.19,106.09
